CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;UV01_01;UV01_02;UV01_03;UV02;UV03;UV04;UV05;UV06;UV07;UV07_01;UV07_02;UV07_03;UV07_04;UV07_05;UV07_06;UV07_06a;UV08_01;UV08_02;UV08_03;UV08_04;UV08_05;UV08_06;UV08_07;UV08_08;UV08_09;UV08_10;UV08_11;UV08_12;UV08_13;UV09;UV10;UK01;UK02;UK03;UK04;UK05;BS01;BS02;BS03;BS04;BS05;BS06;BS07;BS08;BS09;BS10;BS11;AE01;AE02;AE03;AE04;AE05;SF01;SF01_01;SF01_02;SF01_03;SF01_04;SF01_05;SF01_06;SF01_07;SF01_07a;SF02;SF02_09;SF02_01;SF02_02;SF02_03;SF02_04;SF02_05;SF02_06;SF02_07;SF02_08;SF02_08a;SF03;SF03_01;SF03_02;SF03_03;SF03_04;SF03_05;SF03_06;SF03_06a;KH01_01;KH01_02;KH01_03;KH01_04;KH01_05;KH01_06;KH01_07;KH01_08;KH01_09;KH01_10;KH01_12;KH01_11;KH02;KH02_01;KH02_02;KH02_05;KH02_06;KH02_03;KH02_04;KH02_07;KH02_07a;KH03;KH03_01;KH03_02;KH03_03;KH03_04;KH03_05;KH03_07;KH03_08;KH03_09;KH03_06;KH03_06a;MI01_01;MI01_02;MI01_03;MI01_04;MI01_05;MI01_06;MI01_07;MI01_08;MI01_09;MI01_10;MI01_11;MI01_12;MI01_13;MI01_14;MI01_15;MI01_16;MI01_17;PD01;PD02;PD03;PD04;PD06;PD06_01;PD06_02;PD06_03;PD06_04;PD06_05;PD06_06;PD06_07;PD06_08;PD07;PD07_11;PD09;PD09_08;PD10;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
Interview-Nummer (fortlaufend);Seriennummer (sofern verwendet);Referenz (sofern im Link angegeben);Fragebogen, der im Interview verwendet wurde;Interview-Modus;Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin);Mobilität: Fahrrad;Mobilität: öffentliche Verkehrsmittel;Mobilität: zu Fuß;Energieeffizienz;Ökostrom;Spende;Engagement;Umweltsiegel;Bekannte Gütesiegel: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Bekannte Gütesiegel: 200px_eubio.png;Bekannte Gütesiegel: 200px-Bio-Siegel-EG-Oeko-VO-Deutschland.svg.png;Bekannte Gütesiegel: 200pxNaturland_Logo.svg.png;Bekannte Gütesiegel: Bioland_Logo_2012_200px.png;Bekannte Gütesiegel: Internationaal_logo_Demeter.png;Bekannte Gütesiegel: Andere;Bekannte Gütesiegel: Andere (offene Eingabe);Lebensmitteleigenschaften: die Produkte regional sind.;Lebensmitteleigenschaften: die Produkte saisonal sind.;Lebensmitteleigenschaften: die Pestizidbelastung der Produkte gering ist.;Lebensmitteleigenschaften: die Produktion von Treibhausgasen vermieden wird.;Lebensmitteleigenschaften: bei der Produktion keine synthetischen Düngemittel verwendet werden.;Lebensmitteleigenschaften: bei der Produktion möglichst keine Überdüngung stattfindet.;Lebensmitteleigenschaften: Produktion ein möglichst großer Anteil von Futtermitteln aus eigenem Anbau stammt.;Lebensmitteleigenschaften: es zu Fruchtfolgen kommt (d.h. verschiedene Kulturen angebaut werden).;Lebensmitteleigenschaften: die Produktion nicht überwiegend aus einem Gewächshaus kommen.;Lebensmitteleigenschaften: die Produkte günstig sind.;Lebensmitteleigenschaften: die Produkte mengenmäßig genügen.;Lebensmitteleigenschaften: die Produkte qualitativ hochwertig sind.;Lebensmitteleigenschaften: Keines der angegebenen Aussagen trifft zu.;Fleisch;Vegetarisch;Mobilität2;Energieeffizienz2;Ökostrom;Spende2;Engagement2;Treibhausgase;Pestizidbelastung;Grundwasser;regional Treibhausgase;saisonal Treibhausgase;nicht regional;Futtermittel;Dünger;Überdüngung;Gewächshaus;tierische Lebensmittel;Verantwortung;Rohstoffe;Wachstum;Lebensstandard;Wirtschaftswachstum;Umfeld: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Umfeld: Ihrer/Ihrem Partner/In.;Umfeld: Ihren Verwandten.;Umfeld: Ihrem Freundeskreis.;Umfeld: im Bekanntenkreis.;Umfeld: Ihren Kollegen auf der Arbeit.;Umfeld: weiteren Personen.;Umfeld: Andere;Umfeld: Andere (offene Eingabe);Ort: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Ort: zuhause.;Ort: auf der Arbeit.;Ort: mit der Familie.;Ort: mit Freunden.;Ort: zu besonderen Anlässen.;Ort: wenn Sie zu Gast sind.;Ort: wenn Sie Gäste haben.;Ort: wenn Sie Sport treiben.;Ort: woanders;Ort: woanders (offene Eingabe);Information: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Information: das Internet (Internetwerbung, Social Media, YouTube Kanäle, Online-Magazine, o.ä.).;Information: Ihrem Bio-Markt bzw. Bio-Lebensmittelerzeuger.;Information: den Austausch mit Freunden und Bekannten.;Information: den Austausch mit der/dem Partner/in oder Verwandten.;Information: den Austausch mit Arbeitskolleg/innen.;Information: Woanders;Information: Woanders (offene Eingabe);Kaufentscheidung: der Preis.;Kaufentscheidung: die Verpackung.;Kaufentscheidung: das Design.;Kaufentscheidung: das Bio-Label.;Kaufentscheidung: die Kaufsituation (Zeit- und ortsabhängig);Kaufentscheidung: die Botschaft, die mir das Lebensmittel verkauft.;Kaufentscheidung: das Unternehmen.;Kaufentscheidung: die Marke.;Kaufentscheidung: ob das Produkt gerade im Angebot ist.;Kaufentscheidung: die Qualität.;Kaufentscheidung: die Herkunft.;Kaufentscheidung: etwas anderes.;Einkauf: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Einkauf: im Discounter.;Einkauf: im Supermarkt.;Einkauf: im Bio-Discounter.;Einkauf: im Bio-Fachgeschäft.;Einkauf: am Wochenmarkt.;Einkauf: online.;Einkauf: Woanders;Einkauf: Woanders (offene Eingabe);Konsum: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Konsum: sie gesünder sind.;Konsum: sie besser schmecken.;Konsum: die Form der Tierhaltung eine bessere ist.;Konsum: sie nachhaltiger sind.;Konsum: sie mir ein besseres Gefühl geben.;Konsum: es sich im Alltag ergibt.;Konsum: es die Religion vorschreibt.;Konsum: ich durch mein Umfeld häufig dazu komme.;Konsum: Andere Gründe;Konsum: Andere Gründe (offene Eingabe);Milieu: Mir ist es wichtig, neue Ideen einzubringen und Impulse geben zu können.;Milieu: Ich lebe mit dem Gefühl, dass ich immer wieder neu starten kann.;Milieu: Für umweltfreundliche Produkte bin ich bereit, mehr auszugeben.;Milieu: Ich vertraue auf die Kräfte des freien Marktes. Der Markt wird dafür sorgen, dass sich verändert, was sich verändern muss.;Milieu: Um meine Zukunft mache ich mir keine Sorgen.;Milieu: Ich interessiere mich sehr dafür, was es Neues in den Kulturszenen gibt.;Milieu: Für uns gibt es heutzutage wenig Chancen, es zu etwas zu bringen.;Milieu: Es ist mir ganz wichtig, dass nichts nach außen dringt, wenn es in meiner Familie Probleme gibt.;Milieu: Ich bin für die Gleichstellung von Homosexuellen in allen Lebensbereichen.;Milieu: Manchmal leiste ich mir bewusst allerbeste Qualität.;Milieu: Ich lebe gerne in einem Umfeld, in dem ich ganz unterschiedliche Menschen treffen kann.;Milieu: Ich habe genug mit meinen eigenen Problemen zu tun, ich kann mich nicht noch um andere kümmern.;Milieu: Ich möchte im Beruf vorankommen. Dafür bin ich auch bereit in meiner Freizeit zu arbeiten.;Milieu: Es kommt bei mir häufig vor, dass ich mich bei sozialen oder ökologischen Fragen stark engagiere.;Milieu: Wir brauchen in Zukunft mehr Wirtschaftswachstum, auch wenn das die Umwelt belastet.;Milieu: Es ist mir sehr wichtig, etwas für mein körperliches und seelisches Wohlbefinden zu tun.;Milieu: Ich habe den Eindruck, dass ich mich immer mehr anstrengen muss, um nicht sozial abzurutschen.;Geschlecht;Alter;Familienstand;Schulabschluss;Staatsangehörigkeit: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Staatsangehörigkeit: deutsch;Staatsangehörigkeit: türkisch;Staatsangehörigkeit: polnisch;Staatsangehörigkeit: syrisch;Staatsangehörigkeit: rumänisch;Staatsangehörigkeit: italienisch;Staatsangehörigkeit: kroatisch;Staatsangehörigkeit: Andere;Branche;Branche: Andere;Stellung;Stellung: Andere;Einkommen;Verweildauer Seite 1;Verweildauer Seite 2;Verweildauer Seite 3;Verweildauer Seite 4;Verweildauer Seite 5;Verweildauer Seite 6;Verweildauer Seite 7;Verweildauer Seite 8;Verweildauer Seite 9;Verweildauer Seite 10;Verweildauer Seite 11;Verweildauer Seite 12;Verweildauer Seite 13;Verweildauer Seite 14;Verweildauer Seite 15;Verweildauer Seite 16;Verweildauer Seite 17;Verweildauer Seite 18;Verweildauer Seite 19;Verweildauer Seite 20;Verweildauer gesamt (ohne Ausreißer);Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten);Zeitpunkt als der Datensatz das letzte mal geändert wurde;Wurde die Befragung abgeschlossen (letzte Seite erreicht)?;Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?;Seite, die der Teilnehmer zuletzt bearbeitet hat;Letzte Seite, die im Fragebogen bearbeitet wurde;Anteil fehlender Antworten in Prozent;Anteil fehlender Antworten (gewichtet nach Relevanz);Maluspunkte für schnelles Ausfüllen;Maluspunkte für schnelles Ausfüllen
7;;;FB2;interview;19.02.2020 18:33;täglich;täglich;täglich;trifft nicht zu;Ja, ausschließlich;nie;nie;nie;ich kaufe selten bis nie Bio-Lebensmittel;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Rangplatz 2;Rangplatz 1;nicht eingeordnet;Rangplatz 3;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;selten;selten;Stimme zu;Stimme zu;Stimme zu;Teils, teils;Stimme eher zu;FALSCH;FALSCH;WAHR;WAHR;WAHR;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;Teils, teils;Stimme nicht zu;Stimme zu;Stimme eher zu;Stimme eher nicht zu;;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Rangplatz 2;nicht eingeordnet;nicht eingeordnet;Rangplatz 1;Rangplatz 3;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 4;Rangplatz 5;nicht eingeordnet;nicht eingeordnet;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme eher zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Weiß nicht;Stimme überhaupt nicht zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;weiblich;18-25;nicht eheliche Partnerschaft;Fachhochschulreife;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Keine Angabe;;Student/in;;Keine Angabe;11;36;16;223;11;18;10;19;47;20;15;18;15;42;104;103;43;33;29;2;785;;19.02.2020 18:47;ausgefüllt;Teilnehmer;20;20;0;0;1,02;9
8;;;FB2;interview;19.02.2020 18:34;täglich;täglich;täglich;trifft zu;Ja, zum Teil;nie;regelmäßig;immer;;ausgewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;;Rangplatz 1;Rangplatz 2;Rangplatz 4;Rangplatz 3;Rangplatz 5;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;selten;häufig;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;WAHR;Stimme zu;Stimme nicht zu;Stimme zu;Stimme zu;Stimme nicht zu;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;nicht eingeordnet;nicht eingeordnet;Rangplatz 3;Rangplatz 2;nicht eingeordnet;nicht eingeordnet;Rangplatz 5;nicht eingeordnet;nicht eingeordnet;Rangplatz 1;Rangplatz 4;nicht eingeordnet;;nicht gewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;männlich;18-25;nicht eheliche Partnerschaft;Fachhochschulabschluss;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Akademische Berufe/ Wissenschaftler;;Student/in;;<450;16;36;18;57;59;15;6;23;44;47;12;15;11;36;71;88;11;14;24;3;572;;19.02.2020 18:44;ausgefüllt;Teilnehmer;20;20;0;0;1,21;17
9;;;FB2;interview;19.02.2020 18:34;täglich;täglich;täglich;teils, teils;Nein;nie;gelegentlich;oft;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;Rangplatz 3;Rangplatz 1;Rangplatz 2;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;selten;häufig;Stimme zu;Teils, teils;Stimme eher zu;Stimme eher nicht zu;Stimme zu;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;Stimme zu;Stimme nicht zu;Stimme eher nicht zu;Teils, teils;Teils, teils;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;Rangplatz 4;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 3;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 1;Rangplatz 2;Rangplatz 5;;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;männlich;18-25;nicht eheliche Partnerschaft;Fachhochschulreife;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Techniker und gleichrangige nichttechnische Berufe;;Student/in;;450-999;5;64;16;155;26;43;21;51;125;43;45;40;22;40;114;190;17;42;48;6;924;;19.02.2020 18:53;ausgefüllt;Teilnehmer;20;20;0;0;0,7;3
10;;;FB2;interview;19.02.2020 18:48;täglich;täglich;täglich;trifft eher zu;Ja, ausschließlich;nie;gelegentlich;gelegentlich;ich kaufe selten bis nie Bio-Lebensmittel;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Rangplatz 2;Rangplatz 3;nicht eingeordnet;nicht eingeordnet;Rangplatz 4;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 5;nicht eingeordnet;Rangplatz 1;nicht eingeordnet;häufig;häufig;Teils, teils;Stimme eher zu;Teils, teils;Teils, teils;Stimme eher zu;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;Stimme eher zu;Stimme nicht zu;Stimme zu;Teils, teils;Stimme eher nicht zu;;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Rangplatz 1;nicht eingeordnet;Rangplatz 4;nicht eingeordnet;Rangplatz 5;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 2;Rangplatz 3;nicht eingeordnet;;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme eher zu;männlich;18-25;ledig;Abgeschlossene Ausbildung;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Handwerks- und verwandte Berufe;;Arbeiter/in;;1500-1999;14;48;35;320;45;25;15;27;141;71;437;142;33;278;415;142;17;27;78;3;1032;;19.02.2020 19:27;ausgefüllt;Teilnehmer;20;20;0;0;0,52;0
12;;;FB2;interview;19.02.2020 19:08;täglich;täglich;täglich;trifft zu;Nein;nie;selten;oft;;ausgewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;;nicht eingeordnet;Rangplatz 3;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 1;Rangplatz 4;Rangplatz 2;nicht eingeordnet;nie;häufig;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;WAHR;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;WAHR;WAHR;Stimme zu;Stimme nicht zu;Stimme zu;Stimme zu;Teils, teils;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;Rangplatz 1;nicht eingeordnet;nicht eingeordnet;Rangplatz 3;nicht eingeordnet;Rangplatz 4;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 2;Rangplatz 5;nicht eingeordnet;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;weiblich;18-25;ledig;Hochschule (Bachelor);;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Hilfsarbeitskräfte;;Student/in;;450-999;7;32;18;103;11;15;9;39;14;21;11;15;12;34;82;68;20;13;57;3;581;;19.02.2020 19:17;ausgefüllt;Teilnehmer;20;20;0;0;1,25;16
13;;;FB2;interview;19.02.2020 19:10;täglich;täglich;täglich;trifft eher zu;Ja, ausschließlich;nie;nie;selten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;114;20;;;;;;;;;;;;;;;;;;138;;19.02.2020 19:12;abgebrochen;Teilnehmer;3;3;0;0;1,05;13
17;;;FB2;interview;19.02.2020 19:47;monatlich;täglich;täglich;trifft eher weniger zu;Keine Angabe;selten;gelegentlich;oft;;nicht gewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;;Rangplatz 3;Rangplatz 2;Rangplatz 4;Rangplatz 1;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 5;nicht eingeordnet;nie;gelegentlich;Stimme zu;Stimme zu;Stimme zu;Stimme eher zu;Stimme zu;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;WAHR;WAHR;Stimme zu;Stimme nicht zu;Stimme eher nicht zu;Stimme zu;Stimme eher nicht zu;;ausgewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;ausgewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;;Rangplatz 2;Rangplatz 1;nicht eingeordnet;Rangplatz 3;nicht eingeordnet;nicht eingeordnet;Rangplatz 4;nicht eingeordnet;nicht eingeordnet;Rangplatz 5;nicht eingeordnet;nicht eingeordnet;;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;weiblich;18-25;nicht eheliche Partnerschaft;Fachhochschulreife;;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Keine Angabe;;Student/in;;Keine Angabe;6;27;18;92;15;18;10;26;27;18;15;38;11;47;92;123;20;26;50;9;679;;19.02.2020 19:59;ausgefüllt;Teilnehmer;20;20;0;0;1,04;7
22;;;FB2;interview;20.02.2020 07:48;nie;1 - 2 x die Woche;täglich;trifft zu;Ja, ausschließlich;nie;selten;oft;ich kaufe selten bis nie Bio-Lebensmittel;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Rangplatz 3;Rangplatz 2;Rangplatz 1;nicht eingeordnet;nicht eingeordnet;Rangplatz 5;Rangplatz 4;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;häufig;immer;Stimme zu;Stimme zu;Stimme zu;Stimme nicht zu;Stimme zu;FALSCH;FALSCH;Keine Angabe;Keine Angabe;WAHR;Keine Angabe;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;Stimme eher zu;Stimme nicht zu;Stimme zu;Stimme zu;Stimme eher nicht zu;;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Sie essen nie Bio-Lebensmittel.;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;In der Regel informieren Sie sich nicht.;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Rangplatz 2;nicht eingeordnet;nicht eingeordnet;Rangplatz 4;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;nicht eingeordnet;Rangplatz 1;Rangplatz 3;Rangplatz 5;nicht eingeordnet;;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Keine Angabe;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Weiß nicht;Weiß nicht;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Weiß nicht;Stimme eher zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Weiß nicht;weiblich;56-65;Ehe/ eingetragene Lebenspartnerschaft;Hochschule (Bachelor);;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;Dienstleistungsberufe und Verkäufer;;Selbstständige/r, Freiberufliche/r;;2500- 2999;3;43;28;140;20;20;16;30;37;28;16;29;15;52;149;191;17;16;32;2;882;;20.02.2020 08:02;ausgefüllt;Teilnehmer;20;20;0;0;0,93;5
